"BehaviorSpace results (NetLogo 6.3.0)"
"Sugarscape 3 Wealth Distribution.nlogo"
"experiment"
"09/04/2023 22:16:08:992 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","count turtles","mean [sugar] of turtles"
"3","25","5","no-visualization","300","71","300","56.63333333333333"
"6","25","5","no-visualization","600","48","600","37.61333333333334"
"7","25","5","no-visualization","700","41","700","31.73857142857143"
"3","25","5","no-visualization","300","72","300","56.3"
"4","25","5","no-visualization","400","66","400","53.925"
"2","25","5","no-visualization","200","97","200","43.08"
"5","25","5","no-visualization","500","58","500","48.838"
"1","25","5","no-visualization","100","22","100","34.02"
"2","25","5","no-visualization","200","98","200","42.84"
"3","25","5","no-visualization","300","73","300","55.306666666666665"
"4","25","5","no-visualization","400","67","400","54.0225"
"6","25","5","no-visualization","600","49","600","38.22"
"7","25","5","no-visualization","700","42","700","32.22142857142857"
"2","25","5","no-visualization","200","99","200","41.41"
"5","25","5","no-visualization","500","59","500","49.514"
"3","25","5","no-visualization","300","74","300","55.67333333333333"
"2","25","5","no-visualization","200","100","200","38.245"
"6","25","5","no-visualization","600","50","600","38.75833333333333"
"4","25","5","no-visualization","400","68","400","53.465"
"3","25","5","no-visualization","300","75","300","55.35666666666667"
"7","25","5","no-visualization","700","43","700","32.81428571428572"
"8","25","5","no-visualization","800","35","800","25.7775"
"3","25","5","no-visualization","300","76","300","55.903333333333336"
"5","25","5","no-visualization","500","60","500","50.41"
"4","25","5","no-visualization","400","69","400","53.9475"
"6","25","5","no-visualization","600","51","600","39.361666666666665"
"3","25","5","no-visualization","300","77","300","55.95"
"7","25","5","no-visualization","700","44","700","33.357142857142854"
"3","25","5","no-visualization","300","78","300","54.61333333333334"
"4","25","5","no-visualization","400","70","400","54.01"
"5","25","5","no-visualization","500","61","500","50.31"
"3","25","5","no-visualization","300","79","300","54.696666666666665"
"7","25","5","no-visualization","700","45","700","33.9"
"4","25","5","no-visualization","400","71","400","52.955"
"6","25","5","no-visualization","600","52","600","40.093333333333334"
"5","25","5","no-visualization","500","62","500","50.526"
"1","25","5","no-visualization","100","23","100","35.2"
"3","25","5","no-visualization","300","80","300","53.93"
"4","25","5","no-visualization","400","72","400","52.975"
"5","25","5","no-visualization","500","63","500","50.226"
"8","25","5","no-visualization","800","36","800","26.1125"
"3","25","5","no-visualization","300","81","300","52.61333333333334"
"7","25","5","no-visualization","700","46","700","34.45428571428572"
"6","25","5","no-visualization","600","53","600","40.68666666666667"
"4","25","5","no-visualization","400","73","400","53.1075"
"3","25","5","no-visualization","300","82","300","51.91"
"4","25","5","no-visualization","400","74","400","52.73"
"5","25","5","no-visualization","500","64","500","49.972"
"6","25","5","no-visualization","600","54","600","41.25833333333333"
"7","25","5","no-visualization","700","47","700","35.004285714285714"
"8","25","5","no-visualization","800","37","800","26.58375"
"3","25","5","no-visualization","300","83","300","51.586666666666666"
"4","25","5","no-visualization","400","75","400","52.1775"
"5","25","5","no-visualization","500","65","500","49.762"
"3","25","5","no-visualization","300","84","300","51.876666666666665"
"6","25","5","no-visualization","600","55","600","41.82333333333333"
"7","25","5","no-visualization","700","48","700","35.55"
"4","25","5","no-visualization","400","76","400","51.68"
"3","25","5","no-visualization","300","85","300","48.92333333333333"
"5","25","5","no-visualization","500","66","500","49.734"
"3","25","5","no-visualization","300","86","300","48.63"
"8","25","5","no-visualization","800","38","800","27.06"
"6","25","5","no-visualization","600","56","600","42.43833333333333"
"1","25","5","no-visualization","100","24","100","36.2"
"4","25","5","no-visualization","400","77","400","50.77"
"5","25","5","no-visualization","500","67","500","49.868"
"3","25","5","no-visualization","300","87","300","48.08"
"7","25","5","no-visualization","700","49","700","36.08428571428571"
"6","25","5","no-visualization","600","57","600","43"
"5","25","5","no-visualization","500","68","500","50.348"
"8","25","5","no-visualization","800","39","800","27.6025"
"3","25","5","no-visualization","300","88","300","45.75333333333333"
"4","25","5","no-visualization","400","78","400","49.8625"
"3","25","5","no-visualization","300","89","300","44.31666666666667"
"6","25","5","no-visualization","600","58","600","43.596666666666664"
