"BehaviorSpace results (NetLogo 6.3.0)"
"Sugarscape 1 Immediate Growback.nlogo"
"experiment"
"09/04/2023 22:25:44:716 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean [sugar] of turtles"
"8","no-visualization","800","33","492","45.31910569105691"
"10","no-visualization","1000","5","903","16.15282392026578"
"5","no-visualization","500","46","325","64.03692307692307"
"7","no-visualization","700","74","415","90.74216867469879"
"4","no-visualization","400","50","252","71.72619047619048"
"6","no-visualization","600","89","385","101.96883116883117"
"4","no-visualization","400","51","252","72.86507936507937"
"5","no-visualization","500","47","325","65.10153846153847"
"8","no-visualization","800","34","492","46.25813008130081"
"7","no-visualization","700","75","415","91.76626506024097"
"6","no-visualization","600","90","385","102.94805194805195"
"4","no-visualization","400","52","252","74.00396825396825"
"5","no-visualization","500","48","325","66.16615384615385"
"9","no-visualization","900","14","625","25.2064"
"4","no-visualization","400","53","252","75.14285714285714"
"5","no-visualization","500","49","325","67.23076923076923"
"7","no-visualization","700","76","415","92.79036144578313"
"10","no-visualization","1000","6","871","16.88748564867968"
"4","no-visualization","400","54","252","76.28174603174604"
"9","no-visualization","900","15","620","26.13225806451613"
"5","no-visualization","500","50","325","68.29538461538462"
"8","no-visualization","800","35","492","47.197154471544714"
"7","no-visualization","700","77","415","93.8144578313253"
"5","no-visualization","500","51","325","69.36"
"4","no-visualization","400","55","252","77.42063492063492"
